IP,id,id2,counter,core_temp,ADC1,ADC2,ADC3,battery
fd00::212:4b00:615:aa72,171,0,151,26190,2276,0,1456,3269
fd00::212:4b00:615:ab05,171,0,111,32380,2288,0,1460,3248
fd00::212:4b00:615:aaee,171,0,131,23096,2316,0,1492,3275
fd00::212:4b00:616:f3d,171,0,104,32619,2324,0,1496,3262
fd00::212:4b00:616:ff3,171,0,100,35000,2276,0,1456,3168
fd00::212:4b00:615:aa72,171,0,152,26190,2280,0,1456,3272
fd00::212:4b00:615:ab05,171,0,112,32619,2292,0,1460,3249
fd00::212:4b00:615:aaee,171,0,132,23096,2316,0,1488,3276
fd00::212:4b00:616:f3d,171,0,105,32380,2324,0,1496,3260
fd00::212:4b00:616:ff3,171,0,101,35238,2276,0,1456,3170
fd00::212:4b00:615:aa72,171,0,153,26428,2284,0,1452,3273
fd00::212:4b00:615:ab05,171,0,113,32857,2288,0,1460,3249
fd00::212:4b00:615:aaee,171,0,133,22620,2312,0,1488,3273
fd00::212:4b00:616:f3d,171,0,106,32380,2324,0,1496,3260
fd00::212:4b00:616:ff3,171,0,102,35000,2280,0,1456,3168
fd00::212:4b00:615:aa72,171,0,154,26666,2280,0,1452,3273
fd00::212:4b00:615:ab05,171,0,114,32380,2288,0,1460,3248
fd00::212:4b00:615:aaee,171,0,134,22858,2312,0,1488,3274
fd00::212:4b00:616:f3d,171,0,107,32142,2324,0,1492,3260
fd00::212:4b00:616:ff3,171,0,103,35000,2276,0,1460,3167
fd00::212:4b00:615:aa72,171,0,155,26190,2280,0,1452,3270
fd00::212:4b00:615:ab05,171,0,115,32857,2284,0,1460,3250
fd00::212:4b00:615:aaee,171,0,135,22858,2312,0,1492,3274
fd00::212:4b00:616:f3d,171,0,108,32380,2320,0,1492,3261
fd00::212:4b00:616:ff3,171,0,104,35000,2280,0,1460,3168
fd00::212:4b00:615:aa72,171,0,156,26666,2284,0,1452,3273
fd00::212:4b00:615:ab05,171,0,116,32380,2284,0,1456,3249
fd00::212:4b00:615:aaee,171,0,136,22858,2316,0,1488,3274
